Stimulus;Stimulus_tf;Stimulus_tf_sep;target_distractor;GPT2_s;GPT2_s_sep;BPE_split
Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm. Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm. Dann verabschiedete die Dame den Touristen;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen . Der Koffer war allerdings so schwer , dass die Dame am Check - in entschied , dem Touristen eine extra Gebühr zu berechnen . Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus . Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm . Dann verabschiedete die Dame den Touristen;Touristen;2.9833829402923584;2.5037224292755127;1
Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm. Dann verabschiedete die Dame den Koffer und danach ging er zum Gate.;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm. Dann verabschiedete die Dame den Koffer;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen . Der Koffer war allerdings so schwer , dass die Dame am Check - in entschied , dem Touristen eine extra Gebühr zu berechnen . Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus . Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm . Dann verabschiedete die Dame den Koffer;Koffer;0.862838864326477;1.0630106925964355;1
Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm. Dann begrüßte die Dame den Touristen und danach ging er zum Gate.;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm. Dann begrüßte die Dame den Touristen;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen . Der Koffer war allerdings so schwer , dass die Dame am Check - in entschied , dem Touristen eine extra Gebühr zu berechnen . Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus . Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm . Dann begrüßte die Dame den Touristen;Touristen;2.05348801612854;1.7694140672683716;1
Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm. Dann begrüßte die Dame den Koffer und danach ging er zum Gate.;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm. Dann begrüßte die Dame den Koffer;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen . Der Koffer war allerdings so schwer , dass die Dame am Check - in entschied , dem Touristen eine extra Gebühr zu berechnen . Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus . Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm . Dann begrüßte die Dame den Koffer;Koffer;5.498836994171143;5.617175102233887;1
Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm. Dann unterschrieb die Dame den Touristen und danach ging er zum Gate.;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm. Dann unterschrieb die Dame den Touristen;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen . Der Koffer war allerdings so schwer , dass die Dame am Check - in entschied , dem Touristen eine extra Gebühr zu berechnen . Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus . Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm . Dann unterschrieb die Dame den Touristen;Touristen;10.518444061279297;9.249886512756348;1
Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm. Dann unterschrieb die Dame den Koffer und danach ging er zum Gate.;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen. Der Koffer war allerdings so schwer, dass die Dame am Check-in entschied, dem Touristen eine extra Gebühr zu berechnen. Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus. Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm. Dann unterschrieb die Dame den Koffer;Ein Tourist wollte seinen riesigen Koffer mit in das Flugzeug nehmen . Der Koffer war allerdings so schwer , dass die Dame am Check - in entschied , dem Touristen eine extra Gebühr zu berechnen . Daraufhin öffnete der Tourist seinen Koffer und warf einige Sachen hinaus . Somit wog der Koffer des einfallsreichen Touristen weniger als das Maximum von 30 Kilogramm . Dann unterschrieb die Dame den Koffer;Koffer;2.7826220989227295;2.278341293334961;1
Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts. Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an. Aufgeregt fragte der Lehrer die sympathische Verkäuferin, wie viel die Weltkarte kosten sollte. Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste, sagte der Lehrer der Verkäuferin, dass er dies gerne tun würde. Die Verkäuferin sagte daraufhin, wie beschämend es sei, dass die Schule nicht einmal für eine Weltkarte bezahlen würde. Dann kaufte der Lehrer die Weltkarte und danach verließ er das Geschäft.  ;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts. Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an. Aufgeregt fragte der Lehrer die sympathische Verkäuferin, wie viel die Weltkarte kosten sollte. Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste, sagte der Lehrer der Verkäuferin, dass er dies gerne tun würde. Die Verkäuferin sagte daraufhin, wie beschämend es sei, dass die Schule nicht einmal für eine Weltkarte bezahlen würde. Dann kaufte der Lehrer die Weltkarte;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts . Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an . Aufgeregt fragte der Lehrer die sympathische Verkäuferin , wie viel die Weltkarte kosten sollte . Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste , sagte der Lehrer der Verkäuferin , dass er dies gerne tun würde . Die Verkäuferin sagte daraufhin , wie beschämend es sei , dass die Schule nicht einmal für eine Weltkarte bezahlen würde . Dann kaufte der Lehrer die Weltkarte;Weltkarte;1.745710276067257;2.5404031574726105;1
Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts. Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an. Aufgeregt fragte der Lehrer die sympathische Verkäuferin, wie viel die Weltkarte kosten sollte. Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste, sagte der Lehrer der Verkäuferin, dass er dies gerne tun würde. Die Verkäuferin sagte daraufhin, wie beschämend es sei, dass die Schule nicht einmal für eine Weltkarte bezahlen würde. Dann kaufte der Lehrer die Verkäuferin und danach verließ er das Geschäft.  ;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts. Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an. Aufgeregt fragte der Lehrer die sympathische Verkäuferin, wie viel die Weltkarte kosten sollte. Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste, sagte der Lehrer der Verkäuferin, dass er dies gerne tun würde. Die Verkäuferin sagte daraufhin, wie beschämend es sei, dass die Schule nicht einmal für eine Weltkarte bezahlen würde. Dann kaufte der Lehrer die Verkäuferin;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts . Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an . Aufgeregt fragte der Lehrer die sympathische Verkäuferin , wie viel die Weltkarte kosten sollte . Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste , sagte der Lehrer der Verkäuferin , dass er dies gerne tun würde . Die Verkäuferin sagte daraufhin , wie beschämend es sei , dass die Schule nicht einmal für eine Weltkarte bezahlen würde . Dann kaufte der Lehrer die Verkäuferin;Verkäuferin;14.159237229148857;13.387059594038874;1
Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts. Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an. Aufgeregt fragte der Lehrer die sympathische Verkäuferin, wie viel die Weltkarte kosten sollte. Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste, sagte der Lehrer der Verkäuferin, dass er dies gerne tun würde. Die Verkäuferin sagte daraufhin, wie beschämend es sei, dass die Schule nicht einmal für eine Weltkarte bezahlen würde. Dann unterschrieb der Lehrer die Weltkarte und danach verließ er das Geschäft.  ;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts. Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an. Aufgeregt fragte der Lehrer die sympathische Verkäuferin, wie viel die Weltkarte kosten sollte. Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste, sagte der Lehrer der Verkäuferin, dass er dies gerne tun würde. Die Verkäuferin sagte daraufhin, wie beschämend es sei, dass die Schule nicht einmal für eine Weltkarte bezahlen würde. Dann unterschrieb der Lehrer die Weltkarte;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts . Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an . Aufgeregt fragte der Lehrer die sympathische Verkäuferin , wie viel die Weltkarte kosten sollte . Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste , sagte der Lehrer der Verkäuferin , dass er dies gerne tun würde . Die Verkäuferin sagte daraufhin , wie beschämend es sei , dass die Schule nicht einmal für eine Weltkarte bezahlen würde . Dann unterschrieb der Lehrer die Weltkarte;Weltkarte;4.835900276899338;5.182647660374641;1
Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts. Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an. Aufgeregt fragte der Lehrer die sympathische Verkäuferin, wie viel die Weltkarte kosten sollte. Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste, sagte der Lehrer der Verkäuferin, dass er dies gerne tun würde. Die Verkäuferin sagte daraufhin, wie beschämend es sei, dass die Schule nicht einmal für eine Weltkarte bezahlen würde. Dann unterschrieb der Lehrer die Verkäuferin und danach verließ er das Geschäft.  ;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts. Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an. Aufgeregt fragte der Lehrer die sympathische Verkäuferin, wie viel die Weltkarte kosten sollte. Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste, sagte der Lehrer der Verkäuferin, dass er dies gerne tun würde. Die Verkäuferin sagte daraufhin, wie beschämend es sei, dass die Schule nicht einmal für eine Weltkarte bezahlen würde. Dann unterschrieb der Lehrer die Verkäuferin;Ein engagierter Lehrer sah eine alte Weltkarte in der Vitrine eines Antiquitätengeschäfts . Ein solch authentisches Artefakt schien dem Lehrer sehr geeignet für sein Klassenzimmer zu sein und er sprach die Verkäuferin an . Aufgeregt fragte der Lehrer die sympathische Verkäuferin , wie viel die Weltkarte kosten sollte . Obwohl er für eine zusätzliche Weltkarte selbst bezahlen musste , sagte der Lehrer der Verkäuferin , dass er dies gerne tun würde . Die Verkäuferin sagte daraufhin , wie beschämend es sei , dass die Schule nicht einmal für eine Weltkarte bezahlen würde . Dann unterschrieb der Lehrer die Verkäuferin;Verkäuferin;11.56648930720985;9.113685579039156;1
