Subject,Item,timeReceipt,IbexItemNum,Block,WordNum,Word,EventTime,CondCode,Critical,Correct,QuestionText,QuestionCondition,ReadingTime,Sentence,Condition,Region,ReactionTime,Accuracy,precritRT
1,1,1637007368,25,1,4,Dame,1637005029663,153,6,K,War der Koffer am Anfang zu schwer?,paragraph,356,Dann unterschrieb die Dame den Touristen und danach ging er zum Gate.,C,Pre-critical_2,3457,1,303
1,1,1637007368,25,1,5,den,1637005029663,153,6,K,War der Koffer am Anfang zu schwer?,paragraph,303,Dann unterschrieb die Dame den Touristen und danach ging er zum Gate.,C,Pre-critical,3457,1,303
1,1,1637007368,25,1,6,Touristen,1637005029663,153,6,K,War der Koffer am Anfang zu schwer?,paragraph,315,Dann unterschrieb die Dame den Touristen und danach ging er zum Gate.,C,Critical,3457,1,303
1,1,1637007368,25,1,7,und,1637005029663,153,6,K,War der Koffer am Anfang zu schwer?,paragraph,345,Dann unterschrieb die Dame den Touristen und danach ging er zum Gate.,C,Spillover,3457,1,303
1,1,1637007368,25,1,8,danach,1637005029663,153,6,K,War der Koffer am Anfang zu schwer?,paragraph,384,Dann unterschrieb die Dame den Touristen und danach ging er zum Gate.,C,Post-spillover,3457,1,303
1,2,1637007368,102,3,4,Lehrer,1637006931644,151,6,"","","",201,Dann kaufte der Lehrer die Weltkarte und danach verließ er das Geschäft.,A,Pre-critical_2,,,203
1,2,1637007368,102,3,5,die,1637006931644,151,6,"","","",203,Dann kaufte der Lehrer die Weltkarte und danach verließ er das Geschäft.,A,Pre-critical,,,203
1,2,1637007368,102,3,6,Weltkarte,1637006931644,151,6,"","","",193,Dann kaufte der Lehrer die Weltkarte und danach verließ er das Geschäft.,A,Critical,,,203
1,2,1637007368,102,3,7,und,1637006931644,151,6,"","","",232,Dann kaufte der Lehrer die Weltkarte und danach verließ er das Geschäft.,A,Spillover,,,203
1,2,1637007368,102,3,8,danach,1637006931644,151,6,"","","",285,Dann kaufte der Lehrer die Weltkarte und danach verließ er das Geschäft.,A,Post-spillover,,,203
1,3,1637007368,67,2,4,Busfahrer,1637006052556,152,6,K,Hat der Busfahrer die Streifenkarte beschimpft?,manipulation,314,Dann beschimpfte der Busfahrer die Streifenkarte und sofort fuhr er viel zu schnell weiter.,B,Pre-critical_2,3087,1,294
1,3,1637007368,67,2,5,die,1637006052556,152,6,K,Hat der Busfahrer die Streifenkarte beschimpft?,manipulation,294,Dann beschimpfte der Busfahrer die Streifenkarte und sofort fuhr er viel zu schnell weiter.,B,Pre-critical,3087,1,294
1,3,1637007368,67,2,6,Streifenkarte,1637006052556,152,6,K,Hat der Busfahrer die Streifenkarte beschimpft?,manipulation,426,Dann beschimpfte der Busfahrer die Streifenkarte und sofort fuhr er viel zu schnell weiter.,B,Critical,3087,1,294
1,3,1637007368,67,2,7,und,1637006052556,152,6,K,Hat der Busfahrer die Streifenkarte beschimpft?,manipulation,314,Dann beschimpfte der Busfahrer die Streifenkarte und sofort fuhr er viel zu schnell weiter.,B,Spillover,3087,1,294
1,3,1637007368,67,2,8,sofort,1637006052556,152,6,K,Hat der Busfahrer die Streifenkarte beschimpft?,manipulation,365,Dann beschimpfte der Busfahrer die Streifenkarte und sofort fuhr er viel zu schnell weiter.,B,Post-spillover,3087,1,294
1,4,1637007368,43,1,4,Lehrling,1637005428546,153,6,"","","",253,Dann aß der Lehrling den Hammer und sofort machte er sich an die Arbeit.,C,Pre-critical_2,,,284
1,4,1637007368,43,1,5,den,1637005428546,153,6,"","","",284,Dann aß der Lehrling den Hammer und sofort machte er sich an die Arbeit.,C,Pre-critical,,,284
1,4,1637007368,43,1,6,Hammer,1637005428546,153,6,"","","",262,Dann aß der Lehrling den Hammer und sofort machte er sich an die Arbeit.,C,Critical,,,284
1,4,1637007368,43,1,7,und,1637005428546,153,6,"","","",426,Dann aß der Lehrling den Hammer und sofort machte er sich an die Arbeit.,C,Spillover,,,284
1,4,1637007368,43,1,8,sofort,1637005428546,153,6,"","","",275,Dann aß der Lehrling den Hammer und sofort machte er sich an die Arbeit.,C,Post-spillover,,,284
1,5,1637007368,30,1,4,Konditor,1637005154412,151,6,K,Hat es nach dem Opa noch einen anderen Kunden gegeben?,continuation,326,Daraufhin verpackte der Konditor den Apfelkuchen und dann wandte er sich an den nächsten Kunden.,A,Pre-critical_2,4062,1,304
1,5,1637007368,30,1,5,den,1637005154412,151,6,K,Hat es nach dem Opa noch einen anderen Kunden gegeben?,continuation,304,Daraufhin verpackte der Konditor den Apfelkuchen und dann wandte er sich an den nächsten Kunden.,A,Pre-critical,4062,1,304
1,5,1637007368,30,1,6,Apfelkuchen,1637005154412,151,6,K,Hat es nach dem Opa noch einen anderen Kunden gegeben?,continuation,323,Daraufhin verpackte der Konditor den Apfelkuchen und dann wandte er sich an den nächsten Kunden.,A,Critical,4062,1,304
1,5,1637007368,30,1,7,und,1637005154412,151,6,K,Hat es nach dem Opa noch einen anderen Kunden gegeben?,continuation,348,Daraufhin verpackte der Konditor den Apfelkuchen und dann wandte er sich an den nächsten Kunden.,A,Spillover,4062,1,304
1,5,1637007368,30,1,8,dann,1637005154412,151,6,K,Hat es nach dem Opa noch einen anderen Kunden gegeben?,continuation,314,Daraufhin verpackte der Konditor den Apfelkuchen und dann wandte er sich an den nächsten Kunden.,A,Post-spillover,4062,1,304
1,6,1637007368,87,3,4,Kunde,1637006598303,152,6,"","","",211,Nichtsahnend begrüßte der Kunde die Frühlingsrolle und sogleich schloss er hinter sich die Tür.,B,Pre-critical_2,,,283
1,6,1637007368,87,3,5,die,1637006598303,152,6,"","","",283,Nichtsahnend begrüßte der Kunde die Frühlingsrolle und sogleich schloss er hinter sich die Tür.,B,Pre-critical,,,283
1,6,1637007368,87,3,6,Frühlingsrolle,1637006598303,152,6,"","","",336,Nichtsahnend begrüßte der Kunde die Frühlingsrolle und sogleich schloss er hinter sich die Tür.,B,Critical,,,283
1,6,1637007368,87,3,7,und,1637006598303,152,6,"","","",323,Nichtsahnend begrüßte der Kunde die Frühlingsrolle und sogleich schloss er hinter sich die Tür.,B,Spillover,,,283
1,6,1637007368,87,3,8,sogleich,1637006598303,152,6,"","","",325,Nichtsahnend begrüßte der Kunde die Frühlingsrolle und sogleich schloss er hinter sich die Tür.,B,Post-spillover,,,283
1,7,1637007368,42,1,4,Metzger,1637005409773,153,6,K,Hat der Metzger die Fleischwurst gemietet?,manipulation,313,Dann mietete der Metzger die Fleischwurst und sofort begann er zu essen.,C,Pre-critical_2,3982,1,507
1,7,1637007368,42,1,5,die,1637005409773,153,6,K,Hat der Metzger die Fleischwurst gemietet?,manipulation,507,Dann mietete der Metzger die Fleischwurst und sofort begann er zu essen.,C,Pre-critical,3982,1,507
